,precision,recall,f1-score,support
alt.atheism,0.84375,0.7617554858934169,0.800658978583196,319.0
comp.graphics,0.7678571428571429,0.884318766066838,0.8219832735961768,389.0
sci.med,0.8653846153846154,0.7954545454545454,0.8289473684210527,396.0
sci.space,0.7889447236180904,0.7969543147208121,0.7929292929292929,394.0
accuracy,0.8117489986648865,0.8117489986648865,0.8117489986648865,0.8117489986648865
macro avg,0.8164841204649622,0.8096207780339031,0.8111297283824296,1498.0
weighted avg,0.8153466003800159,0.8117489986648865,0.8116415266394063,1498.0
