label,TF-IDF+LinearSVC P,TF-IDF+LinearSVC R,TF-IDF+LinearSVC F1,DistilRoBERTa P,DistilRoBERTa R,DistilRoBERTa F1
alt.atheism,0.84375,0.7617554858934169,0.800658978583196,0.8354838709677419,0.8119122257053292,0.8235294117647058
comp.graphics,0.7678571428571429,0.884318766066838,0.8219832735961768,0.8111111111111111,0.9383033419023136,0.8700834326579261
sci.med,0.8653846153846154,0.7954545454545454,0.8289473684210527,0.9272237196765498,0.8686868686868687,0.8970013037809648
sci.space,0.7889447236180904,0.7969543147208121,0.7929292929292929,0.8610354223433242,0.8020304568527918,0.8304862023653088
accuracy,,,0.8117489986648865,,,0.8571428571428571
macro avg,0.8164841204649622,0.8096207780339031,0.8111297283824296,0.8587135310246817,0.8552332232868258,0.8552750876422264
weighted avg,0.8153466003800159,0.8117489986648865,0.8116415266394063,0.8601269201976738,0.8571428571428571,0.8568707728211402
